流水序,Unicode,常用字
01203,5e8a,床
01204,5e9a,庚
01205,5e97,店
01206,5e9c,府
01207,5e95,底
01208,5e96,庖
01209,5ea0,庠
01210,5ea6,度
01211,5eab,庫
01212,5ead,庭
01213,5ea7,座
01214,5eb7,康
01215,5eb8,庸
01216,5eb6,庶
01217,5eb5,庵
01218,5ebe,庾
01219,5eca,廊
01220,5ec1,廁
01221,5ec2,廂
01222,5ec9,廉
01223,5ec8,廈
01224,5ed3,廓
01225,5ed6,廖
01226,5ee2,廢
01227,5eda,廚
01228,5edf,廟
01229,5edd,廝
01230,5ee3,廣
01231,5ee0,廠
01232,9f90,龐
01233,5eec,廬
01234,5ef3,廳
01235,5ef7,廷
01236,5ef6,延
01237,5efa,建
01238,5eff,廿
01239,5f01,弁
01240,5f04,弄
01241,5f08,弈
01242,5f0a,弊
01243,5f0f,式
01244,5f12,弒
01245,5f13,弓
01246,5f14,弔
01247,5f15,引
01248,5f18,弘
01249,5f17,弗
01250,5f1b,弛
01251,5f1f,弟
01252,5f26,弦
01253,5f27,弧
01254,5f29,弩
01255,5f2d,弭
01256,5f31,弱
01257,5f35,張
01258,5f37,強
01259,5f3c,弼
01260,5f46,彆
01261,5f48,彈
01262,5f4c,彌
01263,5f4e,彎
01264,5f57,彗
01265,5f59,彙
01266,5f5e,彞
01267,5f64,彤
01268,5f62,形
01269,5f65,彥
01270,5f6c,彬
01271,5f69,彩
01272,5f6b,彫
01273,5f6d,彭
01274,5f70,彰
01275,5f71,影
01276,5f77,彷
01277,5f79,役
01278,5f80,往
01279,5f81,征
01280,5f7f,彿
01281,5f7c,彼
01282,5f88,很
01283,5f85,待
01284,5f8a,徊
01285,5f8b,律
01286,5f87,徇
01287,5f8c,後
01288,5f92,徒
01289,5f91,徑
01290,5f90,徐
01291,5f97,得
01292,5f99,徙
01293,5f9e,從
01294,5f98,徘
01295,5fa1,御
01296,5fa9,復
01297,5faa,循
01298,5fa8,徨
01299,5fac,徬
01300,5fae,微
01301,5fb9,徹
01302,5fb7,德
01303,5fb5,徵
01304,5fbd,徽
01305,5fc3,心
01306,5fc5,必
01307,5fd9,忙
01308,5fd6,忖
01309,5fd8,忘
01310,5fcc,忌
01311,5fd7,志
01312,5fcd,忍
01313,5ff1,忱
01314,5feb,快
01315,5fdd,忝
01316,5fe0,忠
01317,5ffd,忽
01318,5ff5,念
01319,5fff,忿
01320,600f,怏
01321,6014,怔
01322,602f,怯
01323,6035,怵
01324,6016,怖
01325,602a,怪
01326,6015,怕
01327,6021,怡
01328,6027,性
01329,6012,怒
01330,601d,思
01331,6020,怠
01332,6025,急
01333,600e,怎
01334,6028,怨
01335,604d,恍
01336,6070,恰
01337,6068,恨
01338,6062,恢
01339,6046,恆
01340,6043,恃
01341,606c,恬
01342,606b,恫
01343,606a,恪
01344,6064,恤
01345,6059,恙
01346,6063,恣
01347,6065,恥
01348,6050,恐
01349,6055,恕
01350,606d,恭
01351,6069,恩
01352,606f,息
01353,6084,悄
01354,609f,悟
01355,609a,悚
01356,608d,悍
01357,6094,悔
01358,608c,悌
01359,6085,悅
01360,6096,悖
01361,607f,恿
01362,60a3,患
01363,6089,悉
01364,60a0,悠
01365,60a8,您
01366,60cb,惋
01367,60b4,悴
01368,60e6,惦
01369,60bd,悽
01370,60c5,情
01371,60bb,悻
01372,60b5,悵
01373,60dc,惜
01374,60bc,悼
01375,60d8,惘
01376,60d5,惕
01377,60c6,惆
01378,60df,惟
01379,60b8,悸
01380,60da,惚
01381,60d1,惑
01382,60e1,惡
01383,60b2,悲
01384,60b6,悶
01385,60e0,惠
01386,611c,愜
01387,6123,愣
01388,60fa,惺
01389,6115,愕
01390,60f0,惰
01391,60fb,惻
01392,60f4,惴
01393,6168,慨
01394,60f1,惱
01395,610e,愎
01396,60f6,惶
01397,6109,愉
01398,6100,愀
01399,611a,愚
01400,610f,意
01401,6148,慈
01402,611f,感
01403,60f3,想
01404,611b,愛
01405,60f9,惹
01406,6101,愁
01407,6108,愈
01408,614e,慎
01409,614c,慌
01410,6144,慄
01411,614d,慍
01412,613e,愾
01413,6134,愴
01414,6127,愧
01415,6147,慇
01416,613f,愿
01417,614b,態
01418,6177,慷
01419,6162,慢
01420,6163,慣
01421,615f,慟
01422,615a,慚
01423,6158,慘
01424,6176,慶
01425,6167,慧
01426,616e,慮
01427,615d,慝
01428,6155,慕
01429,6182,憂
01430,617c,慼
01431,6170,慰
01432,616b,慫
01433,617e,慾
01434,61a7,憧
01435,6190,憐
01436,61ab,憫
01437,618e,憎
01438,61ac,憬
01439,619a,憚
01440,61a4,憤
01441,6194,憔
01442,61b2,憲
01443,6191,憑
01444,61a9,憩
01445,618a,憊
01446,61cd,懍
01447,61b6,憶
01448,61be,憾
